Date,Negative,Positive,Deaths
2020-04-09,87374,18228,338
2020-04-08,82299,16239,309
2020-04-07,76719,14559,240
2020-04-06,70874,12980,162
2020-04-05,66261,11510,150
2020-04-04,60013,10017,136
2020-04-03,53695,8420,102
2020-04-02,47698,7016,90
2020-04-01,42427,5805,74
2020-03-31,37645,4843,63
2020-03-30,33777,4087,48
2020-03-29,30061,3394,38
2020-03-28,25254,2751,34
2020-03-27,21016,2218,22
2020-03-26,16441,1687,16
2020-03-25,11193,1127,11
2020-03-24,8643,851,7
2020-03-23,6595,644,6
2020-03-22,4964,479,2
2020-03-21,3766,371,2
2020-03-20,2574,268,0
2020-03-19,1608,185,0
2020-03-18,1187,133,0